ID,country,language,socialNbFollowers,socialClassesLiked,classesListed,classesOffered,classesPassRate,classesWished,classesEnrolled,gender
452,Royaume-Uni,en,5,0,6,6,100,0,0,F
453,France,fr,5,1,11,6,100,0,0,F
454,France,fr,4,1,0,6,50,0,0,F
455,France,fr,4,6,5,6,83,1,0,F
456,Allemagne,de,4,3,12,6,83,0,0,F
457,France,fr,3,0,12,6,100,0,0,F
458,France,fr,3,5,3,6,100,0,0,M
459,Bulgarie,en,40,13,0,5,100,1900,41,M
460,Su??de,en,37,143,2,5,60,14,2,F
461,France,fr,33,6,0,5,80,0,0,F
462,Italie,it,31,9,1,5,66,0,0,F
463,Espagne,es,30,27,1,5,100,3,2,F
464,France,fr,28,42,1,5,80,0,0,F
465,Serbie,en,27,55,2,5,100,0,0,F
466,Italie,it,26,0,3,5,40,0,0,F
467,Italie,it,26,11,1,5,60,0,0,M
468,France,fr,25,876,7,5,100,15,12,F
469,France,fr,24,0,0,5,100,0,0,F
470,Royaume-Uni,en,24,6,4,5,100,12,0,F
471,Etats-Unis,en,24,5,6,5,100,1,0,F
472,Danemark,en,23,67,2,5,60,6,3,F
473,Luxembourg,fr,22,185,0,5,100,37,53,F
474,Suisse,fr,21,7,0,5,80,12,4,F
475,Etats-Unis,en,21,24,0,5,100,1,0,M
476,Autriche,de,17,2,0,5,80,2,3,F
477,Royaume-Uni,en,16,373,0,5,0,47,7,F
478,Royaume-Uni,en,16,25,1,5,100,2,0,M
479,Allemagne,de,16,91,5,5,80,10,1,F
480,Royaume-Uni,en,15,3,1,5,80,0,0,F
481,Su??de,en,15,253,1,5,80,432,6,F
482,Royaume-Uni,en,15,480,3,5,83,7,19,F
483,Etats-Unis,en,14,88,0,5,100,7,14,F
484,France,fr,12,0,1,5,100,1,22,F
485,Royaume-Uni,en,12,0,0,5,60,0,0,F
486,Portugal,fr,11,28,5,5,100,67,2,F
487,France,fr,11,0,3,5,83,0,0,F
488,Italie,it,10,6,0,5,100,0,0,M
489,Italie,it,9,7,21,5,100,12,0,M
490,Irlande,en,8,312,1,5,60,123,18,F
491,Suisse,en,8,3,2,5,83,2,1,F
492,Pays-Bas,en,8,6,1,5,100,0,0,F
493,France,fr,8,0,0,5,80,0,0,F
494,Danemark,en,8,46,1,5,100,15,4,M
495,Royaume-Uni,en,8,0,0,5,60,0,5,F
496,Royaume-Uni,en,8,4,3,5,60,0,3,F
497,Allemagne,de,7,0,0,5,0,0,0,F
498,Autriche,de,7,141,2,5,100,171,9,F
499,France,fr,7,2,4,5,0,0,0,F
500,France,fr,7,0,1,5,100,0,0,M
501,France,fr,7,7,6,5,80,6,1,F
502,Roumanie,en,7,17,1,5,80,0,0,F
503,Finlande,en,6,13,4,5,80,117,85,F
504,Etats-Unis,en,6,1,0,5,100,0,0,F
505,Royaume-Uni,en,6,2,2,5,40,170,4,M
506,Espagne,en,6,1,3,5,100,0,0,F
507,Italie,it,6,0,3,5,100,0,0,M
508,Italie,it,6,221,42,5,100,1,0,F
509,Italie,it,5,0,1,5,100,0,0,M
510,Gr??ce,en,5,1,3,5,100,0,0,F
511,Italie,it,5,0,0,5,100,0,0,F
512,France,fr,4,1,1,5,100,0,0,F
513,France,fr,4,13,13,5,100,0,0,F
514,France,fr,4,37,1,5,60,0,0,F
515,Allemagne,de,3,9,9,5,60,131,3,F
516,France,fr,3,0,4,5,80,0,0,F
517,Italie,it,49,1,0,4,100,0,0,F
518,Etats-Unis,en,47,494,0,4,60,56,6,F
519,Italie,it,43,5,1,4,0,0,0,F
520,Espagne,es,42,1127,0,4,0,8,0,F
521,Espagne,es,36,5598,2,4,0,1295,18,F
522,Chypre,en,30,0,7,4,100,0,0,F
523,Italie,it,25,1,0,4,75,0,0,M
524,Italie,it,25,0,0,4,100,0,0,F
525,France,fr,23,0,0,4,100,0,0,F
526,Espagne,es,23,1,1,4,100,0,0,M
527,Royaume-Uni,en,22,16,0,4,75,0,1,F
528,France,fr,21,0,1,4,50,0,1,M
529,Allemagne,de,20,106,1,4,75,0,2,F
530,Danemark,en,19,175,0,4,0,107,5,F
531,France,fr,17,5,1,4,100,0,0,F
532,Suisse,de,17,71,6,4,0,120,3,F
533,France,en,16,2,1,4,100,0,0,M
534,France,fr,16,0,2,4,100,1,0,F
535,France,fr,15,7,10,4,50,0,0,M
536,Royaume-Uni,en,15,136,9,4,50,13,5,F
537,Royaume-Uni,en,14,2,0,4,75,0,0,F
538,France,fr,14,1,5,4,0,0,0,F
539,Danemark,en,14,295,1,4,50,0,0,F
540,France,fr,13,0,0,4,100,0,0,M
